n,time1,time2,time3,time4,time5,time6,inplace,extramemory
755,1.51344,0.898147,1.549154,1.412865,1.423686,0.92638,0.001071,0.001211
755,1.511815,0.896841,1.544,1.409521,1.409772,0.935386,0.001118,0.001211
760,1.541198,0.915189,1.586973,1.440938,1.444388,0.950323,0.001047,0.001263
760,1.562026,0.91818,1.604299,1.443463,1.435938,0.94147,0.001125,0.00121
765,1.585985,0.942524,1.609276,1.470665,1.473195,0.959098,0.001163,0.001248
765,1.572119,0.936335,1.609209,1.46815,1.469121,0.960791,0.001158,0.001219
770,1.60029,0.954036,1.630808,1.512379,1.509625,0.979056,0.001174,0.001263
770,1.598938,0.950128,1.63966,1.510968,1.510607,0.977818,0.001204,0.001243
775,1.636342,0.969876,1.67077,1.538511,1.560922,0.996834,0.001214,0.001304
775,1.633862,0.970495,1.669394,1.550159,1.542268,0.995473,0.001196,0.001277
780,1.665087,0.989371,1.70305,1.57405,1.577199,1.017845,0.001222,0.001299
780,1.658686,0.990501,1.690128,1.567043,1.565343,1.017197,0.001055,0.001253
785,1.704913,1.020702,1.744951,1.616943,1.60154,1.045467,0.001203,0.001365
785,1.696971,1.011402,1.743911,1.60364,1.606469,1.037729,0.001194,0.001291
790,1.732712,1.033264,1.769554,1.635843,1.632965,1.055701,0.001201,0.001275
790,1.730399,1.031145,1.754482,1.635085,1.64095,1.056865,0.001259,0.001351
795,1.773705,1.048999,1.797256,1.666199,1.660706,1.080356,0.001091,0.0013
795,1.76125,1.051577,1.804435,1.665528,1.666424,1.083057,0.001207,0.001336
800,1.811579,1.072428,1.827913,1.70203,1.697681,1.103251,0.001262,0.001362
800,1.803944,1.070763,1.841362,1.716908,1.695672,1.101341,0.001255,0.001388
